,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,Point Share,Even Strength Goals,PPG,SHG,GWG,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FO%,Season
23,Casey Bailey\baileca01,25,OTT,RW,7,0,0,0,-1,0,-0.1,0,0,0,0,10,0.0,56,8:00,4,4,0,0.0,2016-17
24,Josh Bailey\bailejo01,27,NYI,RW,82,13,43,56,5,12,5.2,10,3,0,1,173,7.5,1506,18:22,53,37,8,53.3,2016-17
25,Justin Bailey\baileju01,21,BUF,RW,32,2,2,4,0,4,0.1,2,0,0,1,36,5.6,340,10:38,14,27,0,0.0,2016-17
26,Nicholas Baptiste\baptini01,21,BUF,RW,14,3,1,4,1,6,0.6,3,0,0,0,16,18.8,129,9:14,1,12,1,33.3,2016-17
27,Ivan Barbashev\barbaiv01,21,STL,C,30,5,7,12,5,2,1.5,5,0,0,1,20,25.0,354,11:47,14,34,83,40.1,2016-17
28,Riley Barber\barberi01,22,WSH,RW,3,0,0,0,0,0,0.0,0,0,0,0,2,0.0,26,8:35,0,1,0,,2016-17
29,Mark Barberio\barbema01,26,TOT,D,60,2,11,13,-5,14,2.6,1,1,0,0,80,2.5,1096,18:16,55,20,0,,2016-17
30,Aleksander Barkov\barkoal01,21,FLA,C,61,21,31,52,13,10,6.9,18,3,0,5,142,14.8,1184,19:24,30,39,476,46.5,2016-17
31,Tyson Barrie\barrity01,25,COL,D,74,7,31,38,-34,18,4.4,6,1,0,2,182,3.8,1725,23:18,75,32,0,,2016-17
32,Matt Bartkowski\bartkma01,28,CGY,D,24,1,1,2,-4,26,0.4,1,0,0,0,16,6.3,369,15:23,12,46,0,,2016-17
33,Mathew Barzal\barzama01,19,NYI,C,2,0,0,0,-2,6,-0.1,0,0,0,0,0,,20,9:45,0,1,6,46.2,2016-17
34,Cody Bass\bassco01,30,NSH,C,9,0,0,0,-1,19,-0.1,0,0,0,0,1,0.0,61,6:46,4,14,0,0.0,2016-17
35,Jay Beagle\beaglja01,31,WSH,RW,81,13,17,30,20,22,3.5,12,0,1,4,100,13.0,1104,13:38,44,55,624,56.4,2016-17
36,Francois Beauchemin\beaucfr01,36,COL,D,81,5,13,18,-14,32,3.7,5,0,0,1,132,3.8,1743,21:31,156,73,0,,2016-17
37,Nathan Beaulieu\beaulna01,24,MTL,D,74,4,24,28,8,44,5.6,2,2,0,1,118,3.4,1442,19:29,102,65,0,,2016-17
38,Anthony Beauvillier\beauvan01,19,NYI,LW,66,9,15,24,1,10,2.2,9,0,0,2,101,8.9,859,13:01,26,81,123,41.4,2016-17
39,Taylor Beck\beckta01,25,TOT,LW,5,0,0,0,-3,4,-0.2,0,0,0,0,5,0.0,44,8:49,0,5,0,0.0,2016-17
40,Matt Beleskey\belesma01,28,BOS,LW,49,3,5,8,-10,47,-0.2,3,0,0,0,79,3.8,650,13:16,18,98,29,41.4,2016-17
41,Pierre-Edouard Bellemare\bellepi01,31,PHI,LW,82,4,4,8,-1,20,-0.4,4,0,0,0,90,4.4,1064,12:58,70,73,400,48.3,2016-17
42,Jamie Benn\bennja01,27,DAL,LW,77,26,43,69,-9,66,7.5,13,12,1,4,201,12.9,1492,19:22,47,89,212,51.5,2016-17
43,Jordie Benn\bennjo01,29,TOT,D,71,4,13,17,-4,28,2.8,4,0,0,1,68,5.9,1298,18:17,144,64,0,,2016-17
44,Beau Bennett\bennebe01,25,NJD,RW,65,8,11,19,-3,20,1.7,7,1,0,1,101,7.9,881,13:33,13,76,3,18.8,2016-17
45,Sam Bennett\bennesa01,20,CGY,C,81,13,13,26,-16,75,1.6,9,4,0,0,122,10.7,1214,14:59,46,127,374,46.1,2016-17
46,Matt Benning\bennima01,22,EDM,D,62,3,12,15,8,29,3.5,2,1,0,0,69,4.3,1030,16:37,64,111,0,,2016-17
47,Patrice Bergeron\bergepa01,31,BOS,C,79,21,32,53,12,24,6.6,13,8,0,7,302,7.0,1534,19:25,47,54,1086,60.1,2016-17
48,Patrik Berglund\berglpa01,28,STL,C,82,23,11,34,-7,32,3.9,19,4,0,5,153,15.0,1311,15:59,42,155,584,50.0,2016-17
49,Christoph Bertschy\bertsch02,22,MIN,C,5,0,1,1,0,4,0.0,0,0,0,0,5,0.0,41,8:08,3,7,0,,2016-17
50,Tyler Bertuzzi\bertuty01,21,DET,LW,7,0,0,0,-1,0,-0.1,0,0,0,0,3,0.0,64,9:06,0,12,1,50.0,2016-17
51,Bryan Bickell\bickebr01,30,CAR,LW,11,1,0,1,-4,4,-0.1,0,1,0,1,8,12.5,115,10:26,3,16,0,0.0,2016-17
52,Alex Biega\biegaal01,28,VAN,D,36,0,3,3,-4,18,0.7,0,0,0,0,37,0.0,474,13:10,24,97,0,,2016-17
53,Kevin Bieksa\biekske01,35,ANA,D,81,3,11,14,0,63,3.5,2,1,0,1,94,3.2,1519,18:45,100,173,0,,2016-17
54,Anthony Bitetto\bitetan01,26,NSH,D,29,0,7,7,-1,25,0.9,0,0,0,0,17,0.0,342,11:48,24,43,0,,2016-17
55,Oliver Bjorkstrand\bjorkol01,21,CBJ,RW,26,6,7,13,4,6,1.7,6,0,0,2,55,10.9,366,14:05,9,14,1,100.0,2016-17
56,Nick Bjugstad\bjugsni01,24,FLA,C,54,7,7,14,-19,22,0.5,6,1,0,1,91,7.7,710,13:09,9,72,186,47.6,2016-17
57,Joseph Blandisi\blandjo01,22,NJD,LW,27,3,6,9,-10,26,0.4,2,1,0,2,24,12.5,361,13:22,6,37,76,45.0,2016-17
58,Anton Blidh\blidhan01,21,BOS,LW,19,1,1,2,-2,7,0.0,1,0,0,0,26,3.8,167,8:47,4,41,0,,2016-17
59,Mike Blunden\blundmi01,30,OTT,RW,2,0,0,0,0,4,0.0,0,0,0,0,1,0.0,16,8:07,0,6,0,,2016-17
60,Mikkel Boedker\boedkmi01,27,SJS,LW,81,10,16,26,0,10,2.1,9,0,1,2,122,8.2,1162,14:21,34,71,5,27.8,2016-17
61,Brock Boeser\boesebr01,19,VAN,RW,9,4,1,5,0,0,0.8,2,2,0,1,25,16.0,146,16:13,0,5,0,,2016-17
62,Zach Bogosian\bogosza01,26,BUF,D,56,2,9,11,-17,46,1.4,2,0,0,1,73,2.7,1125,20:05,97,59,0,0.0,2016-17
63,Jared Boll\bollja01,30,ANA,RW,51,0,3,3,-3,87,-0.3,0,0,0,0,13,0.0,297,5:49,14,68,0,0.0,2016-17
64,Nick Bonino\boninni01,28,PIT,C,80,18,19,37,-5,16,3.0,11,6,1,1,142,12.7,1332,16:39,99,60,582,48.0,2016-17
65,Mark Borowiecki\borowma01,27,OTT,D,70,1,2,3,-3,154,1.3,1,0,0,0,50,2.0,981,14:01,90,364,1,100.0,2016-17
66,Robert Bortuzzo\borturo01,27,STL,D,38,1,3,4,11,15,2.0,1,0,0,0,45,2.2,535,14:05,50,77,0,,2016-17
67,Reid Boucher\bouchre01,23,TOT,C,39,6,4,10,-6,8,0.9,5,1,0,0,70,8.6,465,11:56,14,19,0,0.0,2016-17
68,Lance Bouma\boumala01,26,CGY,C,61,3,4,7,-2,35,-0.1,3,0,0,1,53,5.7,692,11:21,44,127,4,33.3,2016-17
69,Michael Bournival\bournmi01,24,TBL,LW,19,2,1,3,-3,2,0.1,2,0,0,0,25,8.0,193,10:09,8,31,1,33.3,2016-17
70,Gabriel Bourque\bourqga01,26,COL,LW,6,0,0,0,0,0,-0.1,0,0,0,0,4,0.0,67,11:12,6,17,0,0.0,2016-17
71,Rene Bourque\bourqre01,35,COL,RW,65,12,6,18,-19,56,1.2,10,2,0,2,111,10.8,906,13:57,26,75,0,0.0,2016-17
72,Jay Bouwmeester\bouwmja01,33,STL,D,81,1,14,15,6,28,4.1,1,0,0,0,106,0.9,1815,22:24,111,67,0,,2016-17
73,Johnny Boychuk\boychjo01,33,NYI,D,66,6,17,23,11,19,4.8,4,1,1,2,155,3.9,1368,20:44,133,160,1,100.0,2016-17
74,Brian Boyle\boylebr01,32,TOT,C,75,13,12,25,3,66,2.7,10,3,0,2,131,9.9,977,13:02,41,115,303,52.2,2016-17
75,Tyler Bozak\bozakty01,30,TOR,C,78,18,37,55,-1,30,5.8,11,7,0,1,145,12.4,1282,16:26,26,45,774,56.7,2016-17
76,Derick Brassard\brassde01,29,OTT,C,81,14,25,39,12,24,4.1,11,3,0,3,195,7.2,1408,17:23,24,92,612,50.0,2016-17
77,Justin Braun\braunju01,29,SJS,D,81,4,9,13,1,28,3.7,4,0,0,0,95,4.2,1626,20:05,161,136,0,,2016-17
78,T.J. Brodie\broditj01,26,CGY,D,82,6,30,36,-16,24,5.3,4,1,1,2,78,7.7,1934,23:35,115,30,0,,2016-17
79,Jonas Brodin\brodijo01,23,MIN,D,68,3,22,25,5,20,4.1,1,2,0,2,85,3.5,1331,19:34,89,20,0,,2016-17
80,Kyle Brodziak\brodzky01,32,STL,C,69,8,7,15,2,27,1.4,8,0,0,2,55,14.5,773,11:12,39,56,323,49.5,2016-17
81,Jonny Brodzinski\brodzjo01,23,LAK,C,6,0,2,2,2,2,0.2,0,0,0,0,17,0.0,74,12:17,4,10,0,,2016-17
82,Troy Brouwer\brouwtr01,31,CGY,RW,74,13,12,25,-11,31,1.7,7,5,1,2,86,15.1,1200,16:13,39,171,20,31.3,2016-17
83,Connor Brown\brownco02,23,TOR,RW,82,20,16,36,3,10,4.0,17,2,1,4,139,14.4,1329,16:12,46,50,2,25.0,2016-17
84,Dustin Brown\browndu01,32,LAK,RW,80,14,22,36,-4,22,3.7,9,4,1,1,175,8.0,1280,16:00,31,190,2,40.0,2016-17
85,J.T. Brown\brownjt01,26,TBL,RW,64,3,3,6,-7,73,-0.4,2,0,1,1,67,4.5,664,10:22,25,103,12,31.6,2016-17
86,Patrick Brown\brownpa02,24,CAR,C,14,0,0,0,-6,0,-0.5,0,0,0,0,12,0.0,136,9:43,5,30,9,60.0,2016-17
87,Pavel Buchnevich\buchnpa01,21,NYR,RW,41,8,12,20,6,13,2.3,7,1,0,0,55,14.5,544,13:16,8,17,1,14.3,2016-17
88,Andre Burakovsky\burakan01,21,WSH,LW,64,12,23,35,13,14,4.1,10,2,0,1,111,10.8,849,13:16,25,31,2,28.6,2016-17
89,Erik Burgdoerfer\burgder01,28,BUF,D,2,0,0,0,-1,0,-0.1,0,0,0,0,2,0.0,22,11:10,0,5,0,,2016-17
90,Alexander Burmistrov\burmial01,25,TOT,C,49,5,11,16,-7,12,0.9,1,4,0,0,45,11.1,654,13:21,19,60,178,40.7,2016-17
91,Brent Burns\burnsbr01,31,SJS,D,82,29,47,76,19,40,15.3,21,8,0,6,320,9.1,2039,24:52,142,69,0,,2016-17
92,Alexandre Burrows\burroal01,35,TOT,LW,75,15,16,31,3,62,3.6,14,1,0,2,143,10.5,1099,14:39,34,68,5,35.7,2016-17
93,Chris Butler\butlech01,30,STL,D,1,0,0,0,0,0,0.0,0,0,0,0,1,0.0,21,21:28,2,0,0,,2016-17
94,Dustin Byfuglien\byfugdu01,31,WPG,D,80,13,39,52,10,117,8.5,12,1,0,1,241,5.4,2196,27:27,124,183,0,,2016-17
95,Paul Byron\byronpa01,27,MTL,LW,81,22,21,43,21,29,6.0,21,0,1,6,96,22.9,1220,15:04,34,119,10,66.7,2016-17
96,Drake Caggiula\caggidr01,22,EDM,LW,60,7,11,18,3,16,1.6,5,2,0,2,93,7.5,794,13:14,19,97,117,41.2,2016-17
97,Mitch Callahan\callami01,25,DET,RW,4,0,0,0,0,0,0.0,0,0,0,0,2,0.0,27,6:49,2,3,0,,2016-17
98,Ryan Callahan\callary01,31,TBL,RW,18,2,2,4,-4,23,0.1,2,0,0,1,22,9.1,255,14:09,13,48,5,55.6,2016-17
99,Matt Calvert\calvema01,27,CBJ,LW,65,10,5,15,-4,48,1.1,7,0,3,1,92,10.9,868,13:21,34,61,2,12.5,2016-17
100,Mike Cammalleri\cammami01,34,NJD,LW,61,10,21,31,-9,21,2.8,9,1,0,3,142,7.0,1059,17:21,14,44,17,60.7,2016-17
101,Brian Campbell\campbbr02,37,CHI,D,80,5,12,17,12,24,4.3,3,2,0,1,74,6.8,1474,18:26,83,43,0,,2016-17
102,Patrick Cannone\cannopa01,30,MIN,C,3,0,0,0,0,0,0.0,0,0,0,0,2,0.0,24,7:53,1,2,11,52.4,2016-17
103,Paul Carey\careypa01,28,WSH,C,6,0,0,0,-2,0,-0.2,0,0,0,0,8,0.0,63,10:29,1,5,0,,2016-17
104,Matt Carle\carlema01,32,NSH,D,6,0,1,1,-1,0,0.1,0,0,0,0,2,0.0,79,13:09,5,3,0,,2016-17
105,Brandon Carlo\carlobr01,20,BOS,D,82,6,10,16,9,59,5.2,5,0,1,0,88,6.8,1707,20:49,115,87,0,,2016-17
106,John Carlson\carlsjo01,27,WSH,D,72,9,28,37,7,10,6.5,6,3,0,3,180,5.0,1635,22:43,127,58,0,,2016-17
107,Gabriel Carlsson\carlsga01,20,CBJ,D,2,0,1,1,-2,0,0.0,0,0,0,0,3,0.0,34,17:08,2,5,0,,2016-17
108,Ryan Carpenter\carpery01,26,SJS,C,11,2,2,4,5,4,0.7,2,0,0,0,20,10.0,114,10:23,2,15,34,45.3,2016-17
109,Daniel Carr\carrda01,25,MTL,LW,33,2,7,9,4,6,0.8,2,0,0,1,44,4.5,338,10:15,12,19,2,66.7,2016-17
110,Connor Carrick\carrico01,22,TOR,D,67,2,6,8,8,51,2.3,1,1,0,0,89,2.2,1095,16:20,79,66,0,,2016-17
111,Alexandre Carrier\carrial01,20,NSH,D,2,0,0,0,1,0,0.1,0,0,0,0,1,0.0,21,10:24,1,0,0,,2016-17
112,William Carrier\carriwi01,22,BUF,LW,41,5,3,8,-1,21,0.8,5,0,0,1,50,10.0,369,9:00,10,112,1,50.0,2016-17
113,Jeff Carter\carteje01,32,LAK,C,82,32,34,66,2,41,9.0,21,10,1,9,250,12.8,1479,18:02,37,86,735,51.9,2016-17
114,Cody Ceci\cecico01,23,OTT,D,79,2,15,17,-11,20,3.2,2,0,0,0,143,1.4,1833,23:12,159,111,1,100.0,2016-17
115,Peter Cehlarik\cehlape01,21,BOS,LW,11,0,2,2,0,0,0.0,0,0,0,0,8,0.0,153,13:55,4,7,2,66.7,2016-17
116,Thomas Chabot\chaboth01,20,OTT,D,1,0,0,0,-2,0,-0.2,0,0,0,0,1,0.0,7,7:09,0,1,0,,2016-17
117,Michael Chaput\chapumi01,24,VAN,C,68,4,5,9,-12,29,-0.1,4,0,0,0,64,6.3,750,11:01,29,68,203,52.7,2016-17
118,Zdeno Chara\charazd01,39,BOS,D,75,10,19,29,18,59,8.0,7,1,2,0,136,7.4,1750,23:20,140,130,0,0.0,2016-17
119,Ben Chiarot\chiarbe01,25,WPG,D,59,2,10,12,2,33,1.9,2,0,0,0,49,4.1,904,15:19,94,78,0,,2016-17
120,Alex Chiasson\chiasal01,26,CGY,RW,81,12,12,24,-6,46,1.9,11,0,1,1,104,11.5,1084,13:23,18,74,7,24.1,2016-17
121,Jason Chimera\chimeja01,37,NYI,LW,82,20,13,33,1,40,4.0,19,0,1,2,121,16.5,1071,13:04,30,149,16,47.1,2016-17
122,Taylor Chorney\chornta01,29,WSH,D,18,1,4,5,8,11,1.5,1,0,0,1,19,5.3,257,14:16,29,27,0,,2016-17
123,Jakob Chychrun\chychja01,18,ARI,D,68,7,13,20,-14,47,3.0,6,1,0,0,86,8.1,1133,16:40,99,109,0,,2016-17
124,Casey Cizikas\cizikca01,25,NYI,C,59,8,17,25,9,30,2.6,8,0,0,1,82,9.8,821,13:54,58,144,420,49.6,2016-17
125,Fredrik Claesson\claesfr01,24,OTT,D,33,3,8,11,5,4,2.4,3,0,0,0,25,12.0,434,13:08,24,55,0,,2016-17
126,Adam Clendening\clendad01,24,NYR,D,31,2,9,11,3,17,1.9,1,1,0,0,38,5.3,490,15:49,27,22,0,,2016-17
127,Kyle Clifford\cliffky01,26,LAK,LW,73,6,6,12,-2,92,0.9,6,0,0,0,122,4.9,783,10:43,7,146,2,40.0,2016-17
128,Cal Clutterbuck\cluttca01,29,NYI,RW,66,5,15,20,2,28,1.2,5,0,0,1,115,4.3,924,14:00,25,222,3,37.5,2016-17
129,Braydon Coburn\coburbr01,31,TBL,D,80,5,7,12,-1,50,3.2,4,0,1,0,102,4.9,1339,16:44,76,109,0,,2016-17
130,Andrew Cogliano\coglian01,29,ANA,LW,82,16,19,35,11,26,4.2,13,0,3,2,178,9.0,1241,15:08,27,76,8,44.4,2016-17
131,Joe Colborne\colbojo01,27,COL,C,62,4,4,8,-21,34,-0.5,2,2,0,0,48,8.3,663,10:42,14,86,45,38.5,2016-17
132,Ian Cole\coleia01,27,PIT,D,81,5,21,26,26,72,5.6,5,0,0,1,89,5.6,1605,19:49,194,164,0,,2016-17
133,Blake Coleman\colembl01,25,NJD,C,23,1,1,2,-7,27,-0.4,1,0,0,0,29,3.4,295,12:51,15,51,96,42.5,2016-17
134,Blake Comeau\comeabl01,30,COL,LW,77,8,12,20,-19,58,0.7,5,2,1,1,103,7.8,1154,14:59,22,129,114,46.3,2016-17
135,J.T. Compher\comphj.01,21,COL,LW,21,3,2,5,0,4,0.4,2,1,0,1,30,10.0,314,14:56,21,11,78,47.6,2016-17
136,Cory Conacher\conacco01,27,TBL,LW,11,1,3,4,0,4,0.3,0,1,0,0,16,6.3,127,11:34,0,1,1,50.0,2016-17
137,Erik Condra\condrer01,30,TBL,RW,13,0,0,0,-4,4,-0.4,0,0,0,0,8,0.0,125,9:38,7,5,1,100.0,2016-17
138,Kevin Connauton\connake01,26,ARI,D,24,0,1,1,-1,24,0.4,0,0,0,0,21,0.0,315,13:08,22,48,0,,2016-17
139,Brett Connolly\connobr01,24,WSH,RW,66,15,8,23,20,40,3.7,14,1,0,3,81,18.5,706,10:41,12,89,4,28.6,2016-17
140,Kyle Connor\connoky01,20,WPG,LW,20,2,3,5,-7,4,0.0,2,0,0,1,24,8.3,244,12:13,8,1,1,50.0,2016-17
141,Andrew Copp\coppan01,22,WPG,C,64,9,8,17,8,18,1.7,8,0,1,1,77,11.7,790,12:21,28,87,95,49.5,2016-17
142,Frank Corrado\corrafr01,23,TOT,D,4,0,0,0,-1,8,-0.1,0,0,0,0,3,0.0,43,10:46,2,4,0,,2016-17
143,Nick Cousins\cousini01,23,PHI,C,60,6,10,16,-6,31,1.1,5,1,0,0,99,6.1,720,12:00,24,61,89,41.0,2016-17
144,Logan Couture\coutulo01,27,SJS,C,73,25,27,52,11,12,6.9,14,11,0,3,174,14.4,1285,17:36,65,57,297,39.6,2016-17
145,Sean Couturier\coutuse01,24,PHI,C,66,14,20,34,12,33,3.9,14,0,0,2,120,11.7,1217,18:27,35,41,587,55.1,2016-17
146,Charlie Coyle\coylech01,24,MIN,C,82,18,38,56,13,36,6.1,14,4,0,5,159,11.3,1370,16:42,63,101,114,46.0,2016-17
147,Adam Cracknell\crackad01,31,DAL,RW,69,10,6,16,9,12,1.9,9,0,1,2,87,11.5,722,10:28,37,91,135,45.8,2016-17
148,Joseph Cramarossa\cramajo01,24,TOT,LW,59,4,6,10,0,60,0.6,4,0,0,1,36,11.1,587,9:57,23,133,6,85.7,2016-17
149,Sidney Crosby\crosbsi01,29,PIT,C,75,44,45,89,17,24,12.3,30,14,0,5,255,17.3,1491,19:53,27,80,842,48.2,2016-17
150,Lawson Crouse\crousla01,19,ARI,LW,72,5,7,12,-20,48,-0.3,4,0,1,2,84,6.0,856,11:53,29,160,1,50.0,2016-17
151,Matt Cullen\cullema01,40,PIT,C,72,13,18,31,4,30,2.9,9,2,2,2,93,14.0,1002,13:55,27,36,440,51.2,2016-17
152,Austin Czarnik\czarnau01,24,BOS,C,49,5,8,13,-10,12,0.7,5,0,0,1,66,7.6,638,13:01,25,19,57,42.9,2016-17
153,Klas Dahlbeck\dahlbkl01,25,CAR,D,43,2,4,6,-12,30,0.6,2,0,0,0,37,5.4,597,13:53,38,77,0,,2016-17
154,Trevor Daley\daleytr01,33,PIT,D,56,5,14,19,7,37,3.2,4,1,0,0,84,6.0,1141,20:23,83,29,0,,2016-17
155,Zac Dalpe\dalpeza01,27,MIN,C,9,1,2,3,0,9,0.3,1,0,0,0,8,12.5,77,8:33,5,5,27,45.8,2016-17
156,Phillip Danault\danauph01,23,MTL,LW,82,13,27,40,5,35,3.9,13,0,0,3,133,9.8,1278,15:35,52,76,533,51.7,2016-17
157,Marko Daňo\danoma01,22,WPG,C,38,4,7,11,0,10,0.9,2,2,0,0,44,9.1,406,10:41,14,83,1,25.0,2016-17
158,Laurent Dauphin\dauphla01,21,ARI,C,24,2,1,3,-2,12,0.0,1,0,1,1,32,6.3,262,10:55,11,32,37,45.1,2016-17
159,Brandon Davidson\davidbr01,25,TOT,D,38,0,3,3,-2,20,0.7,0,0,0,0,42,0.0,597,15:43,61,42,0,,2016-17
160,Calvin de Haan\dehaaca01,25,NYI,D,82,5,20,25,15,36,5.4,4,1,0,1,116,4.3,1628,19:51,190,139,0,,2016-17
161,Jacob de La Rose\delarja01,21,MTL,LW,9,0,0,0,-3,4,-0.3,0,0,0,0,4,0.0,98,10:54,5,23,17,50.0,2016-17
162,Jean-Sebastien Dea\deaje01,22,PIT,C,1,0,0,0,0,2,0.0,0,0,0,0,1,0.0,11,11:18,0,3,1,50.0,2016-17
163,Anthony DeAngelo\deangan01,21,ARI,D,39,5,9,14,-13,37,1.7,3,2,0,1,60,8.3,667,17:06,48,31,0,,2016-17
164,Danny DeKeyser\dekeyda01,26,DET,D,82,4,8,12,-22,33,2.0,4,0,0,2,85,4.7,1800,21:57,170,100,0,,2016-17
165,Michael Del Zotto\delzomi01,26,PHI,D,51,6,12,18,-5,28,3.5,6,0,0,0,92,6.5,995,19:30,85,173,0,0.0,2016-17
166,Dylan DeMelo\demeldy01,23,SJS,D,25,1,7,8,2,14,1.6,1,0,0,0,32,3.1,397,15:54,32,36,0,,2016-17
167,Jason Demers\demerja01,28,FLA,D,81,9,19,28,-14,53,4.9,9,0,0,2,98,9.2,1588,19:37,90,106,0,0.0,2016-17
168,David Desharnais\deshada01,30,TOT,C,49,6,8,14,4,12,1.4,6,0,0,1,46,13.0,610,12:28,15,5,170,51.2,2016-17
169,Andrew Desjardins\desjaan01,30,CHI,LW,46,0,1,1,-6,22,-1.0,0,0,0,0,46,0.0,432,9:24,17,73,39,56.5,2016-17
170,Nicolas Deslauriers\deslani01,25,BUF,LW,42,0,2,2,-6,38,-0.5,0,0,0,0,26,0.0,311,7:25,5,109,0,0.0,2016-17
171,Simon Despres\desprsi01,25,ANA,D,1,0,0,0,0,0,0.0,0,0,0,0,1,0.0,16,16:08,1,1,0,,2016-17
172,Phillip Di Giuseppe\digiuph01,23,CAR,LW,36,1,6,7,-12,15,-0.3,1,0,0,1,68,1.5,443,12:18,10,91,0,0.0,2016-17
173,Jason Dickinson\dickija01,21,DAL,C,10,2,0,2,-3,0,0.1,2,0,0,0,9,22.2,118,11:47,4,8,4,30.8,2016-17
174,Christopher Didomenico\didomch01,27,OTT,RW,3,0,0,0,0,6,-0.1,0,0,0,0,5,0.0,33,11:01,2,2,2,66.7,2016-17
175,Brenden Dillon\dillobr01,26,SJS,D,81,2,8,10,-2,60,2.6,2,0,0,0,86,2.3,1334,16:28,81,173,0,,2016-17
176,Shane Doan\doansh01,40,ARI,RW,74,6,21,27,-3,48,1.7,3,3,0,0,144,4.2,1114,15:03,22,101,94,47.2,2016-17
177,Max Domi\domima01,21,ARI,LW,59,9,29,38,-9,40,3.2,8,1,0,1,108,8.3,1002,16:59,21,28,5,50.0,2016-17
178,Joonas Donskoi\donskjo01,24,SJS,RW,61,6,11,17,-5,10,1.0,5,1,0,0,95,6.3,842,13:49,27,27,8,50.0,2016-17
179,Derek Dorsett\dorsede01,30,VAN,RW,14,1,3,4,-6,33,0.1,1,0,0,0,24,4.2,139,9:56,6,35,1,100.0,2016-17
180,Jake Dotchin\dotchja01,22,TBL,D,35,0,11,11,10,35,2.7,0,0,0,0,50,0.0,645,18:26,19,85,0,,2016-17
